Type,Goal_Name,Goal_Description,Goal_Start_Date,Goal_End_Date,Goal_Completed,Task_Name,Task_Description,Task_Start_Date,Task_End_Date,Task_Estimated_Time,Task_Estimated_Cost,Task_Technical_Needs,Task_Weather_Conditions,Task_Needs_Rental,Task_Rental_Item,Task_Rental_Type,Task_Rental_Duration,Task_Rental_Cost_Per_Unit,Task_Total_Rental_Cost,Task_Personnel_Count,Task_Other_Needs,Task_Completed
Goal,Develop Employee Training Program,Develop Employee Training Program,2025-02-01,2025-04-30,False,,,,,0,0.0,Inget - Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,0,No data,False
Task,Develop Employee Training Program,Develop Employee Training Program,2025-02-01,2025-04-30,False,Identify Skills Gap,Identify Skills Gap,2025-02-01,2025-02-15,10,0.0,"Fyrhjuling - Timmervagn,Fyrhjuling - Dumpersvagn,Handverktyg - Övrigt,Traktor - Dumpersvagn,Fyrhjuling - Snöblad,Övrigt - Gräsklippare,Övrigt - Åkgräsklippare,Övrigt - Bil","Soligt,Torr Mark",False,No data,No data,0,0.0,0.0,4,Analyze feedback,False
Task,Develop Employee Training Program,Develop Employee Training Program,2025-02-01,2025-04-30,False,Design Curriculum,Design Curriculum,2025-02-16,2025-03-15,20,1000.0,Traktor - Skopa,No data,False,No data,No data,0,0.0,0.0,3,Prepare modules,True
Task,Develop Employee Training Program,Develop Employee Training Program,2025-02-01,2025-04-30,False,Conduct Pilot Training,Conduct Pilot Training,2025-03-16,2025-03-25,5,1500.0,Traktor - Sandspridare,No data,True,Training Room,Dygn,3,500.0,1500.0,10,Gather feedback,False
Task,Develop Employee Training Program,Develop Employee Training Program,2025-02-01,2025-04-30,False,Finalize Program,Finalize Program,2025-03-26,2025-04-15,10,500.0,Handverktyg - Övrigt,No data,False,No data,No data,0,0.0,0.0,2,Prepare documentation,False
Goal,Organize Summer Festival,Organize Summer Festival,2025-06-01,2025-08-31,True,,,,,0,0.0,Inget - Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,0,No data,False
Task,Organize Summer Festival,Organize Summer Festival,2025-06-01,2025-08-31,False,Secure Location,Secure Location,2025-06-01,2025-06-15,5,1000.0,Inget - Inga Redskap Behövs,Soligt,True,Festival Area,Dygn,3,500.0,1500.0,3,Ensure accessibility,True
Task,Organize Summer Festival,Organize Summer Festival,2025-06-01,2025-08-31,False,Book Performers,Book Performers,2025-06-16,2025-07-01,8,5000.0,Inget - Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,2,Negotiate contracts,True
Task,Organize Summer Festival,Organize Summer Festival,2025-06-01,2025-08-31,False,Arrange Food Stalls,Arrange Food Stalls,2025-07-02,2025-07-15,6,2000.0,Inget - Inga Redskap Behövs,Soligt,False,No data,No data,0,0.0,0.0,4,Ensure hygiene standards,True
Task,Organize Summer Festival,Organize Summer Festival,2025-06-01,2025-08-31,False,Set Up Lighting,Set Up Lighting,2025-07-20,2025-07-25,4,1500.0,Elverktyg - Övrigt,No data,False,No data,No data,0,0.0,0.0,2,Test functionality,True
Task,Organize Summer Festival,Organize Summer Festival,2025-06-01,2025-08-31,False,Promote Event,Promote Event,2025-07-26,2025-08-10,10,3000.0,Inget - Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,3,Use social media,True
Goal,Renovate Local Library,Renovate Local Library,2025-02-01,2025-05-31,False,,,,,0,0.0,Inget - Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,0,No data,False
Task,Renovate Local Library,Renovate Local Library,2025-02-01,2025-05-31,False,Assess Renovation Needs,Assess Renovation Needs,2025-02-01,2025-02-15,5,0.0,Inget - Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,2,Collect community input,False
Task,Renovate Local Library,Renovate Local Library,2025-02-01,2025-05-31,False,Replace Flooring,Replace Flooring,2025-02-16,2025-03-15,10,3000.0,Traktor - Skopa,No data,True,Flooring Equipment,Timmar,20,200.0,4000.0,4,Ensure safety compliance,False
Task,Renovate Local Library,Renovate Local Library,2025-02-01,2025-05-31,False,Install New Shelving,Install New Shelving,2025-03-16,2025-04-15,8,2000.0,Handverktyg - Övrigt,No data,False,No data,No data,0,0.0,0.0,3,Maximize storage space,False
Task,Renovate Local Library,Renovate Local Library,2025-02-01,2025-05-31,False,Upgrade Lighting,Upgrade Lighting,2025-04-16,2025-05-15,7,1000.0,Elverktyg - Övrigt,No data,False,No data,No data,0,0.0,0.0,2,Optimize for reading,False
Goal,Host Winter Sports Event,Host Winter Sports Event,2025-12-01,2026-02-28,False,,,,,0,0.0,Inget - Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,0,No data,False
Task,Host Winter Sports Event,Host Winter Sports Event,2025-12-01,2026-02-28,False,Prepare Ice Rink,Prepare Ice Rink,2025-12-01,2025-12-15,5,1500.0,Traktor - Sandspridare,Snöigt,True,Ice Resurfacer,Dygn,10,200.0,2000.0,4,Maintain smooth surface,False
Task,Host Winter Sports Event,Host Winter Sports Event,2025-12-01,2026-02-28,False,Organize Teams,Organize Teams,2025-12-16,2025-12-31,5,0.0,Inget - Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,3,Ensure fair distribution,True
Task,Host Winter Sports Event,Host Winter Sports Event,2025-12-01,2026-02-28,False,Set Up Seating,Set Up Seating,2026-01-01,2026-01-15,7,2000.0,Handverktyg - Övrigt,No data,False,No data,No data,0,0.0,0.0,5,Ensure spectator safety,False
Task,Host Winter Sports Event,Host Winter Sports Event,2025-12-01,2026-02-28,False,Arrange Refreshments,Arrange Refreshments,2026-01-16,2026-01-25,3,1000.0,Inget - Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,2,Provide hot drinks,True
Task,Host Winter Sports Event,Host Winter Sports Event,2025-12-01,2026-02-28,False,Plan Opening Ceremony,Plan Opening Ceremony,2026-01-26,2026-02-01,5,3000.0,Inget - Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,4,Invite local artists,False
Goal,Expand Community Garden,Expand Community Garden,2025-03-01,2025-06-30,False,,,,,0,0.0,Inget - Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,0,No data,False
Task,Expand Community Garden,Expand Community Garden,2025-03-01,2025-06-30,False,Plan Layout,Plan Layout,2025-03-01,2025-03-15,5,500.0,Inget - Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,2,Maximize space efficiency,True
Task,Expand Community Garden,Expand Community Garden,2025-03-01,2025-06-30,False,Install Irrigation System,Install Irrigation System,2025-03-16,2025-04-15,10,2000.0,Traktor - Skopa,No data,True,Irrigation Equipment,Timmar,15,100.0,1500.0,3,Test for leaks,False
Task,Expand Community Garden,Expand Community Garden,2025-03-01,2025-06-30,False,Prepare Soil,Prepare Soil,2025-04-16,2025-05-15,8,1500.0,Övrigt - Jordfräs,Torr Mark,True,Tiller,Dygn,5,300.0,1500.0,4,Ensure soil quality,False
Task,Expand Community Garden,Expand Community Garden,2025-03-01,2025-06-30,False,Plant Crops,Plant Crops,2025-05-16,2025-06-15,12,2000.0,Handverktyg - Övrigt,No data,False,No data,No data,0,0.0,0.0,6,Use organic seeds,False
Goal,Set Up Recycling Program,Set Up Recycling Program,2025-01-01,2025-04-30,False,,,,,0,0.0,Inget - Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,0,No data,False
Task,Set Up Recycling Program,Set Up Recycling Program,2025-01-01,2025-04-30,True,Identify Locations,Identify Locations,2025-01-01,2025-01-15,5,0.0,Inget - Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,2,Analyze accessibility,False
Task,Set Up Recycling Program,Set Up Recycling Program,2025-01-01,2025-04-30,True,Purchase Bins,Purchase Bins,2025-01-16,2025-02-15,10,5000.0,Inget - Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,3,Choose durable materials,True
Task,Set Up Recycling Program,Set Up Recycling Program,2025-01-01,2025-04-30,True,Train Volunteers,Train Volunteers,2025-02-16,2025-03-15,10,1000.0,Inget - Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,4,Create training materials,True
Task,Set Up Recycling Program,Set Up Recycling Program,2025-01-01,2025-04-30,True,Launch Awareness Campaign,Launch Awareness Campaign,2025-03-16,2025-04-10,15,2000.0,Inget - Inga Redskap Behövs,No data,False,No data,No data,0,0.0,0.0,2,Distribute flyers,True
Goal,Nytt mål,Beskrivning på nytt mål.......,2024-12-19,2025-03-21,False,,,,,0,0.0,No data,No data,False,No data,No data,0,0.0,0.0,0,No data,False
Task,Community Sports Event,Community Sports Event,2025-01-01,2025-03-31,,Hämta saker i rummet....?,Beskrivning som är supertydlig!,2024-12-29,2024-12-31,4,400.0,"Fyrhjuling - Annat Redskap,Traktor - Gafflar,Övrigt - Bil,Övrigt - Jordfräs,Övrigt - Åkgräsklippare","Regnigt,Blåsigt,Frusen Mark,Våt Mark,Torr Mark",True,Centrifugalpump,Dygn,3,300.0,900.0,4,fredagar,True
